100 2806
16 34 16
30 76 19
35 43 28
8 49 1
27 59 21
28 54 1
23 58 4
15 82 13
12 62 28
4 28 18
11 58 28
7 15 23
23 85 3
28 42 2
3 25 20
69 86 17
16 31 27
1 70 7
5 57 28
14 82 10
33 60 25
5 8 30
6 43 8
22 67 18
26 38 19
1 18 23
38 54 8
82 83 22
33 83 20
9 75 20
41 50 5
30 65 5
16 51 23
25 31 13
63 72 25
7 47 10
31 83 26
20 60 9
29 81 4
21 56 23
61 88 7
2 53 7
37 73 22
35 59 16
5 59 5
44 74 13
22 39 30
18 31 25
21 36 13
61 95 27
47 100 17
30 91 18
53 80 4
35 40 2
9 50 22
15 52 5
73 100 18
10 57 26
50 90 24
72 83 18
30 99 3
27 31 6
10 11 7
22 66 12
75 99 14
51 59 8
1 9 26
8 16 12
64 96 18
27 40 18
31 53 26
31 91 6
48 56 21
28 34 2
15 49 2
1 48 26
17 68 4
21 33 4
69 89 2
22 40 1
63 89 27
4 61 4
46 81 8
59 94 2
19 43 7
82 100 2
32 34 11
49 100 30
33 96 7
90 91 5
80 87 3
32 47 29
1 100 3
55 86 9
58 86 13
47 80 10
54 68 8
40 78 19
33 51 28
49 74 18
99 100 26
24 41 3
49 81 4
59 65 18
18 69 3
80 100 15
19 45 29
14 47 17
56 59 16
35 82 22
7 86 17
13 17 29
9 74 2
75 81 23
1 79 7
28 85 12
56 90 30
10 51 22
37 99 27
10 35 18
5 36 27
29 68 1
34 76 25
28 35 27
20 24 6
32 33 10
5 82 20
38 45 8
20 79 5
57 61 21
1 51 26
65 81 30
18 36 4
12 24 3
10 27 8
63 94 25
19 66 2
81 87 18
21 35 1
76 91 22
27 62 19
52 58 24
49 71 14
8 87 24
50 60 19
13 81 30
23 97 28
65 76 22
67 89 9
53 77 26
8 90 16
34 40 25
57 88 15
11 92 1
35 57 27
50 58 26
13 36 11
21 40 20
16 50 6
16 89 26
2 19 25
82 86 17
34 43 18
67 83 19
44 78 21
4 38 26
9 20 23
23 68 19
8 26 6
3 99 21
6 63 15
56 64 5
29 46 12
35 85 25
24 47 28
33 49 23
56 75 23
70 94 14
4 79 27
5 81 30
20 39 12
14 84 20
13 89 26
66 97 22
12 46 16
39 76 26
4 50 25
64 71 28
5 44 18
20 82 21
61 70 17
46 73 15
14 98 9
24 49 24
41 96 5
67 84 11
3 97 12
18 82 3
36 52 4
29 49 15
46 70 10
71 93 4
39 86 18
9 15 1
20 68 24
64 83 21
68 89 13
12 15 7
56 93 1
50 68 28
9 87 14
31 66 2
26 43 19
28 72 15
27 79 2
19 98 15
17 39 7
13 95 6
49 63 11
60 66 24
14 51 29
89 96 22
23 29 5
60 61 21
7 31 2
60 96 14
8 43 4
30 56 24
43 58 8
9 83 12
71 88 13
66 75 15
52 91 3
25 54 17
37 69 9
60 64 12
24 70 6
70 88 11
52 92 4
1 26 14
43 78 1
36 71 5
4 20 12
1 86 15
2 39 22
36 56 3
77 85 28
21 29 23
2 85 2
15 96 15
6 28 13
6 61 25
29 90 21
60 98 25
15 47 8
37 42 2
21 48 10
26 90 12
52 73 10
2 48 26
5 10 8
16 43 26
41 55 26
72 98 23
40 45 6
57 97 5
1 6 18
32 40 23
50 88 25
6 42 15
39 97 29
14 70 25
66 77 4
44 55 21
28 95 16
37 66 30
53 94 10
35 48 12
47 61 12
38 63 13
3 65 23
15 34 7
9 24 10
40 46 12
2 55 15
4 31 11
3 60 27
2 96 13
21 63 8
5 95 27
35 41 13
19 57 18
34 36 21
58 84 1
31 81 23
31 89 8
90 93 12
68 77 15
15 16 5
23 90 14
10 90 30
21 61 30
83 90 30
87 99 9
20 77 20
28 74 24
59 70 6
94 99 29
31 98 15
76 94 27
7 48 7
67 85 20
15 37 3
27 71 16
23 84 10
4 100 24
6 95 4
82 96 9
47 90 2
8 67 14
24 51 19
5 61 22
22 52 23
69 84 4
10 22 4
1 29 24
5 58 5
20 36 17
42 54 8
20 38 26
33 63 23
35 67 7
32 85 21
57 98 24
8 73 29
42 52 16
83 100 3
63 79 4
24 65 27
48 89 2
14 31 9
96 97 16
33 41 13
1 83 19
6 92 1
92 94 9
43 70 30
74 87 30
37 76 13
70 95 9
90 92 7
17 55 3
39 72 14
12 18 18
15 27 6
23 46 18
64 68 29
65 96 18
27 86 16
81 83 12
86 97 16
2 31 1
49 59 3
30 69 10
8 13 16
77 96 22
11 78 13
7 84 3
8 68 18
52 68 1
67 87 11
38 87 2
9 72 25
49 99 7
55 84 9
5 53 2
97 98 2
44 83 29
6 38 9
50 57 30
12 30 11
11 41 22
63 84 2
64 85 25
21 27 4
46 55 13
5 37 29
47 55 6
60 84 12
10 43 9
44 48 19
17 52 23
7 49 21
32 49 19
2 82 17
18 40 8
3 38 6
4 6 16
33 37 3
25 41 19
71 75 19
10 82 14
18 21 4
37 75 5
84 89 7
9 62 13
85 92 11
7 24 15
51 98 21
36 81 23
57 84 29
27 99 10
64 76 15
36 62 17
44 60 5
9 34 10
60 97 1
44 81 25
13 93 21
66 72 16
25 28 28
11 86 3
18 50 10
1 57 13
2 100 4
27 41 19
16 76 3
50 78 26
46 88 27
23 76 11
14 78 30
82 92 16
11 74 1
7 43 9
33 66 3
13 14 19
63 70 3
38 86 20
8 59 14
18 54 22
13 82 29
30 59 11
10 13 6
14 46 17
96 100 4
3 29 21
13 28 25
28 51 30
7 52 12
73 82 23
45 70 11
88 91 7
61 87 12
34 48 24
11 28 12
2 99 15
92 96 11
73 83 20
40 82 11
3 76 27
33 89 18
21 25 22
28 31 15
26 32 3
65 82 20
69 76 16
9 93 24
16 58 10
76 78 23
36 43 11
20 71 19
59 64 20
93 96 29
13 29 1
12 50 13
7 69 5
35 98 12
20 78 27
26 37 16
43 45 30
62 66 9
30 47 22
6 71 25
28 73 30
24 75 27
4 75 10
62 91 16
36 68 27
87 96 25
28 61 2
24 56 4
61 81 11
19 75 11
42 70 1
11 68 11
35 78 11
38 81 5
25 42 5
3 49 5
4 17 10
38 51 21
54 79 9
80 96 27
4 85 25
50 93 16
43 85 6
38 58 16
8 20 21
20 83 12
1 38 12
77 93 7
46 67 24
31 67 18
39 98 8
17 49 4
65 74 27
10 92 25
8 44 17
45 96 18
14 93 22
3 70 4
29 37 28
46 60 19
18 25 5
57 69 4
33 91 8
29 54 2
34 77 15
13 38 10
25 72 12
62 82 21
29 92 16
31 85 11
55 74 25
11 67 25
33 95 25
21 64 26
3 100 29
5 80 16
13 51 25
14 25 17
74 80 20
45 72 28
47 81 5
89 100 10
34 100 5
79 94 27
54 60 16
35 97 26
70 84 12
47 69 26
1 42 14
38 69 1
40 96 26
47 50 17
94 96 9
4 44 17
30 57 19
19 31 14
52 64 10
54 93 23
15 42 19
71 79 27
13 39 4
49 85 22
54 77 13
19 85 4
29 47 15
23 82 30
50 82 15
18 83 12
63 67 30
25 33 19
6 29 22
26 28 12
20 21 13
42 53 24
8 11 12
84 90 16
29 97 3
7 42 2
7 38 7
58 69 26
33 78 10
50 98 5
12 72 28
36 38 29
10 18 26
67 74 12
55 81 30
20 28 26
53 91 1
39 73 11
10 81 4
9 37 7
12 82 8
3 78 10
57 63 28
28 43 1
55 85 26
29 86 24
83 93 29
48 98 17
33 79 17
11 35 30
67 75 23
51 61 24
35 74 3
55 95 30
33 48 17
79 80 5
8 19 12
63 98 18
16 98 10
27 96 15
47 77 7
29 77 14
48 96 30
94 98 16
56 98 16
32 67 2
76 86 8
68 80 28
31 42 16
21 41 7
94 95 11
19 64 26
65 95 3
47 63 24
68 84 17
42 50 11
4 58 2
5 47 5
23 30 26
79 81 3
17 67 3
84 94 26
40 41 28
43 63 2
29 91 3
80 89 18
70 77 14
6 96 23
96 98 23
66 68 16
22 98 22
54 69 7
4 46 12
58 79 1
48 83 5
16 39 27
39 91 27
41 44 3
6 100 3
25 46 8
17 42 10
58 91 13
11 94 20
5 34 23
33 74 16
16 27 9
75 89 21
12 88 13
22 92 23
43 71 24
4 5 16
32 46 22
74 77 19
39 82 30
38 62 26
4 74 9
41 66 11
11 72 2
72 92 17
48 64 2
78 91 18
15 88 21
30 58 17
74 76 11
47 75 30
55 72 1
45 71 28
37 57 17
28 55 21
24 100 20
58 72 14
70 78 6
29 55 23
22 55 5
21 74 14
31 63 26
70 89 30
20 37 14
80 94 22
34 46 20
30 67 4
25 90 20
42 81 18
57 99 7
29 60 21
24 76 17
44 82 12
25 99 16
9 60 12
60 88 8
17 26 17
22 84 29
5 51 8
16 60 5
7 75 9
17 77 21
48 95 5
36 99 9
14 68 6
65 87 18
45 86 13
29 61 4
59 92 30
32 55 6
8 64 9
81 95 26
12 71 8
52 63 21
40 71 30
8 91 16
63 91 4
66 89 7
29 67 18
51 52 15
12 74 17
56 62 1
12 27 25
29 43 4
19 42 23
62 79 18
5 24 14
31 87 20
45 79 30
48 87 19
8 23 12
73 97 2
56 83 28
49 64 24
6 99 26
26 63 3
9 31 30
5 63 28
5 85 10
68 70 8
20 98 24
4 60 22
21 62 20
10 98 13
37 54 6
59 84 20
90 97 27
16 87 19
5 9 16
39 42 26
37 90 17
63 82 30
72 100 14
50 83 26
6 88 10
30 62 20
1 72 10
3 81 7
25 80 25
53 96 30
92 93 19
36 61 29
65 93 9
18 56 7
36 40 20
25 32 21
13 44 2
50 52 21
13 41 26
83 87 11
4 16 17
30 51 5
7 98 12
49 78 22
24 94 8
11 26 13
20 92 12
27 68 18
69 82 10
31 50 21
54 75 12
14 65 16
59 71 29
5 17 3
45 51 12
84 96 16
38 72 2
10 99 9
91 96 19
1 61 19
18 58 5
63 68 21
71 92 18
27 88 13
89 90 1
29 34 5
15 65 1
6 7 6
24 30 3
57 79 2
8 58 3
22 83 15
3 64 2
8 65 19
46 54 16
17 37 25
31 84 24
59 85 15
54 85 11
25 82 21
79 87 21
25 38 20
19 97 6
58 80 17
6 78 8
79 90 11
26 40 12
19 44 29
86 87 7
29 30 22
67 82 4
15 89 10
16 69 8
19 49 22
2 4 9
41 51 15
76 92 13
43 51 18
65 88 16
50 80 28
47 67 5
15 54 3
36 90 29
15 86 26
82 88 29
32 83 13
32 54 17
42 69 15
42 93 8
1 84 22
48 78 4
5 99 18
71 89 13
27 67 29
24 77 9
3 30 15
59 79 19
22 25 19
8 47 28
35 76 12
48 62 25
19 25 1
7 35 20
89 97 21
52 97 26
10 16 19
16 41 16
1 75 28
27 56 7
66 100 3
39 78 13
70 93 22
71 95 11
34 54 26
6 75 28
9 28 11
17 82 17
42 58 14
12 57 12
32 43 6
37 53 10
22 61 2
47 83 15
57 76 4
87 98 13
31 46 28
15 92 1
37 79 11
45 93 28
5 100 12
52 71 18
50 76 6
40 77 30
2 43 26
25 60 16
43 66 12
65 80 14
30 86 11
26 44 29
37 62 19
22 38 20
39 88 24
52 99 10
8 57 26
6 84 22
28 33 22
27 43 8
38 40 19
31 65 6
40 56 22
32 98 30
31 39 23
37 50 8
26 88 11
27 29 14
60 95 2
71 90 14
8 75 21
58 65 14
16 77 23
74 97 19
7 54 30
42 49 28
27 39 25
15 43 27
30 64 3
35 62 19
36 93 16
27 50 22
26 29 28
6 11 15
55 87 24
20 94 8
84 88 2
3 94 2
26 59 23
13 87 27
92 97 3
64 98 16
21 72 22
19 87 21
12 64 10
7 23 27
4 33 5
24 97 1
10 54 3
2 27 13
4 29 6
80 81 17
6 37 1
14 20 14
2 30 23
55 62 6
41 49 1
38 59 20
4 86 16
40 88 23
24 86 4
5 22 8
74 78 29
55 63 25
77 81 27
50 74 4
23 66 28
45 82 13
28 93 10
38 78 20
4 72 25
29 64 11
9 98 11
21 78 30
21 99 24
2 29 6
11 53 30
37 91 5
35 47 3
18 46 2
54 86 5
15 57 12
11 17 24
66 82 26
64 86 21
74 86 9
33 59 12
6 76 30
33 45 21
18 20 22
91 93 12
7 13 3
22 54 17
34 75 20
58 63 8
13 33 7
8 70 23
7 26 11
41 76 6
14 67 16
5 74 29
46 47 30
48 93 10
16 82 13
37 59 21
21 38 11
65 73 7
37 80 27
73 95 17
10 40 27
11 18 18
25 93 3
1 40 2
31 94 5
38 84 20
5 21 20
43 87 25
11 16 17
62 65 29
28 71 10
28 46 23
25 35 30
20 99 18
52 78 7
36 82 28
7 39 10
11 34 1
66 69 18
11 15 21
14 100 11
22 57 15
27 89 23
19 53 9
26 72 9
20 62 17
3 54 29
7 11 10
8 34 10
50 77 12
76 79 17
32 74 17
12 70 20
19 63 9
76 99 27
15 26 29
37 49 19
38 55 10
65 84 14
28 68 14
34 61 21
4 62 25
54 70 7
43 69 11
62 83 25
31 99 20
43 93 2
53 88 25
33 73 18
6 48 21
41 87 6
34 94 12
17 48 27
25 29 29
14 39 29
37 38 1
14 28 6
4 51 30
70 85 2
15 81 18
10 39 7
17 99 13
38 96 30
3 67 30
19 54 20
24 45 4
10 50 9
18 19 29
68 91 28
26 49 2
45 78 5
3 6 13
1 77 28
13 21 27
4 80 20
26 39 12
4 26 25
35 53 26
61 93 17
67 73 21
3 92 14
9 99 21
24 64 27
12 75 23
37 92 7
17 100 12
43 57 27
7 76 5
68 85 28
35 95 4
27 36 17
23 28 25
38 94 23
54 73 12
11 32 21
8 94 20
54 91 2
17 96 26
64 80 12
51 53 8
48 70 7
49 61 24
26 33 28
67 78 22
32 37 17
56 87 26
39 85 4
5 67 26
1 78 11
57 85 4
84 92 18
25 98 13
16 32 6
2 21 29
33 65 3
86 88 22
42 74 24
53 84 9
53 54 23
16 65 21
24 33 24
27 87 30
12 17 10
14 95 11
31 58 16
42 92 20
12 41 25
45 85 1
62 78 5
48 58 13
30 71 13
68 90 29
45 59 25
2 91 9
30 49 25
4 41 27
21 32 17
7 34 18
16 66 27
20 84 24
69 79 7
34 74 16
52 59 5
29 58 14
20 34 26
41 69 24
59 86 29
53 100 1
15 99 21
86 92 19
55 65 22
26 96 19
6 9 30
65 66 5
13 98 22
13 37 15
49 88 15
50 69 13
11 36 16
32 52 27
2 42 15
53 89 21
37 61 9
68 69 4
85 87 1
2 37 18
36 49 11
44 50 16
28 94 10
4 32 5
1 94 30
17 36 6
51 60 2
81 93 26
97 99 16
10 70 17
35 90 7
42 47 5
74 90 6
37 93 8
40 50 18
32 36 1
4 40 9
34 89 5
2 24 16
28 88 25
2 33 22
74 100 29
19 65 30
37 77 25
20 100 27
49 54 20
21 49 15
2 9 4
52 100 9
43 91 4
20 49 6
80 93 13
42 76 26
55 100 25
18 64 21
13 79 17
46 84 9
95 100 13
23 35 30
19 81 8
88 98 7
35 50 19
1 82 23
8 25 3
54 66 26
34 62 30
73 87 26
2 68 11
19 84 20
44 100 26
44 72 25
8 46 24
12 89 23
18 60 16
11 97 29
46 100 29
40 85 13
68 76 3
27 42 15
36 67 21
28 53 28
5 12 1
3 19 8
73 98 26
1 3 7
35 68 18
72 86 15
9 92 28
36 92 25
8 99 18
6 86 28
30 46 13
56 66 3
37 51 20
53 58 16
74 96 24
49 56 18
1 32 6
12 31 1
29 93 7
44 92 5
27 92 25
23 98 26
48 77 25
57 100 3
79 97 30
2 14 18
9 12 6
48 92 14
77 86 8
84 85 9
30 43 20
14 57 17
77 80 5
24 87 13
62 63 14
41 54 9
55 79 20
1 30 9
67 97 3
81 89 17
41 92 9
8 14 6
21 58 1
11 59 7
17 94 17
5 87 4
60 70 8
1 46 30
10 96 22
11 91 9
24 34 11
21 82 21
27 75 10
28 77 1
17 76 2
58 99 6
30 80 20
9 39 12
15 62 5
8 81 9
62 93 27
79 82 9
4 87 14
44 89 18
25 37 9
3 31 30
36 48 20
21 66 22
45 74 8
1 50 15
80 99 6
44 49 29
7 22 22
11 65 14
56 85 24
32 62 17
8 9 9
45 49 5
3 33 28
46 97 5
42 67 12
13 65 23
54 61 23
22 48 7
33 71 17
32 61 23
25 30 8
22 42 1
14 43 28
21 71 9
71 98 13
38 80 3
12 21 24
40 65 6
4 70 29
30 98 8
13 62 15
36 63 23
38 89 6
30 83 3
24 85 12
18 78 28
18 49 1
26 34 27
38 67 6
29 53 27
17 19 16
31 70 25
6 50 28
51 83 16
10 21 28
2 8 20
58 89 29
47 97 12
18 61 8
6 98 20
24 80 8
24 98 29
43 62 8
15 77 12
56 99 19
84 100 29
6 16 21
18 72 6
4 95 16
5 91 21
57 75 29
10 65 12
39 100 24
75 90 13
45 94 21
10 93 17
52 53 3
15 44 13
20 57 26
25 73 18
15 32 3
66 70 24
10 48 11
23 50 24
86 95 12
9 85 1
35 44 20
10 75 22
3 91 14
20 69 22
7 20 8
14 19 18
28 100 13
44 53 23
79 83 24
5 46 12
21 51 2
65 97 4
82 85 4
9 77 19
9 22 12
22 75 12
4 66 27
43 49 13
33 70 10
20 40 26
5 54 10
18 39 14
32 57 12
19 21 23
19 52 24
31 77 29
88 89 20
51 77 5
2 83 30
6 74 10
36 97 4
24 63 14
3 13 19
72 93 24
42 56 18
19 95 23
64 91 8
54 92 5
39 52 27
22 35 24
72 84 4
21 79 29
11 73 2
81 99 18
51 66 13
7 12 3
12 48 15
17 38 19
27 49 10
48 66 28
12 87 13
9 63 4
21 95 4
5 66 3
40 51 16
19 69 12
21 42 9
7 55 2
23 44 12
56 68 22
32 71 13
4 14 9
32 60 6
4 23 29
42 88 22
75 98 9
43 81 30
4 64 28
54 97 17
17 31 22
44 85 11
9 67 1
46 96 17
2 7 6
60 90 12
10 37 22
46 48 4
35 89 5
16 44 7
61 68 14
20 74 13
76 93 16
56 57 19
35 81 16
50 66 19
43 74 28
53 87 18
43 89 7
39 95 22
39 93 16
48 85 11
15 58 28
30 97 8
64 70 7
26 70 14
53 67 27
72 91 16
46 57 27
54 59 22
58 59 29
68 87 1
20 86 19
5 97 30
23 36 10
24 62 28
46 76 12
38 74 22
79 99 21
13 27 9
20 45 27
45 67 9
57 92 14
28 52 30
24 29 23
79 95 19
4 36 17
29 59 4
9 59 12
32 68 7
9 25 17
70 74 3
46 64 9
49 84 25
43 56 21
43 88 16
40 42 21
17 57 17
53 71 17
58 98 20
31 41 16
93 100 3
28 98 6
50 87 22
59 98 6
55 98 18
49 79 15
81 98 4
69 92 13
34 47 9
4 99 10
12 23 7
68 78 9
5 25 26
80 92 17
68 82 17
3 28 8
7 82 5
3 86 8
47 65 7
87 90 10
61 73 3
69 94 7
47 72 27
8 36 28
7 85 20
9 33 17
55 99 16
27 72 11
6 40 21
54 90 4
55 93 21
13 42 9
21 31 14
47 76 29
26 54 23
9 40 18
13 34 15
3 71 13
49 55 4
9 76 15
13 57 24
2 71 8
11 13 27
7 70 30
7 25 21
21 53 26
70 71 22
83 92 19
25 36 13
23 92 1
53 69 17
70 80 13
23 27 14
65 94 24
37 86 17
15 74 26
55 68 1
12 67 30
79 86 10
49 80 26
9 18 21
26 71 8
52 60 15
1 11 6
20 63 15
16 93 20
4 98 5
58 95 22
67 80 6
22 51 29
46 68 29
61 76 28
41 64 11
45 99 21
31 33 9
4 57 3
6 44 3
54 87 26
20 44 25
50 89 18
91 92 9
52 83 15
5 28 2
3 24 2
32 88 21
33 75 24
52 76 14
28 38 8
43 68 20
13 49 12
36 55 7
17 64 4
10 88 29
24 39 24
1 68 26
44 99 10
67 94 12
25 81 6
75 83 12
7 83 12
51 86 3
60 83 30
15 56 16
57 90 20
22 63 18
23 43 3
65 70 8
3 35 29
63 100 15
41 99 3
23 55 26
85 93 28
58 100 25
85 89 15
11 31 25
40 76 30
22 46 1
18 66 27
24 31 8
10 14 8
63 97 18
45 90 20
37 63 15
16 67 4
11 49 15
77 98 21
6 69 23
18 89 13
8 71 23
14 62 18
37 94 19
73 86 10
32 51 4
8 37 19
43 61 15
28 60 17
4 83 18
61 65 26
12 36 5
1 21 23
41 46 2
2 28 10
25 49 27
19 67 25
51 91 25
31 75 10
31 76 19
58 97 11
29 95 22
18 93 28
62 90 20
34 37 15
16 61 24
54 62 23
3 85 19
35 100 10
20 90 28
35 46 5
9 49 8
74 81 28
61 89 25
44 86 12
14 53 13
2 75 2
35 54 6
1 45 24
56 86 10
2 41 22
5 42 6
21 86 12
1 52 28
7 10 21
24 79 6
15 30 15
48 61 25
23 32 3
13 35 13
44 98 19
3 74 6
32 86 2
38 57 11
19 86 30
21 84 29
3 39 9
65 77 16
26 53 13
37 58 26
5 19 21
23 57 7
22 30 16
27 35 2
58 77 18
28 97 18
18 24 8
53 85 15
15 20 13
39 43 29
26 77 25
22 26 10
18 44 20
2 47 30
35 45 29
37 82 9
45 53 27
80 86 5
69 90 18
66 93 3
59 61 8
14 83 16
6 32 25
61 64 22
69 77 26
16 72 21
3 52 10
13 22 10
32 87 14
20 89 16
19 50 12
7 46 11
19 58 29
43 80 4
1 33 29
12 55 30
82 99 28
16 91 22
29 96 17
26 79 25
48 82 25
75 100 21
51 54 24
51 75 1
23 33 22
41 89 24
62 71 28
17 81 11
61 97 4
29 39 20
16 35 1
15 25 24
44 77 28
11 98 16
26 35 29
60 94 1
11 44 20
78 85 8
18 41 1
74 95 7
40 84 21
39 74 30
30 61 20
11 76 22
20 30 15
11 27 21
17 59 19
4 49 4
41 95 16
47 87 4
6 34 5
20 65 16
17 93 21
15 91 29
5 41 8
78 94 29
44 71 22
48 71 9
24 36 17
3 98 11
75 78 27
2 52 15
11 77 10
17 33 9
59 93 26
39 40 22
1 5 16
41 42 27
19 88 7
61 96 16
49 52 29
49 89 6
42 85 26
4 21 10
6 30 26
12 100 4
20 47 11
9 84 23
12 69 6
38 43 4
40 94 25
40 57 19
50 63 6
13 66 26
34 42 3
32 94 13
74 89 14
16 21 19
78 90 24
19 62 5
27 81 20
9 47 16
22 89 12
33 77 3
23 41 1
37 52 25
21 70 2
31 64 21
5 94 14
8 24 24
7 67 18
30 36 21
16 30 30
51 55 25
15 68 16
9 97 26
11 47 2
76 88 26
16 59 1
2 61 20
11 55 26
44 93 15
23 81 1
15 80 25
4 34 15
2 81 6
48 73 18
39 62 21
42 95 5
45 91 28
16 64 23
1 59 1
30 63 11
27 70 3
11 100 18
42 77 14
33 39 23
4 10 9
14 56 2
19 38 20
48 86 2
68 93 22
15 51 27
43 82 1
50 75 14
23 49 29
50 51 23
42 90 17
38 88 20
45 92 20
52 89 12
53 97 8
21 26 9
25 26 16
11 30 21
55 69 27
30 81 19
59 63 7
34 38 21
31 92 29
83 85 2
7 95 1
53 78 16
37 47 5
38 61 6
88 96 18
23 93 3
35 99 30
27 63 4
42 79 11
31 96 7
53 86 12
66 74 22
10 24 8
38 99 11
31 82 15
2 15 18
30 82 24
32 72 8
9 69 11
30 84 1
50 64 16
69 85 1
29 79 26
26 69 4
2 98 23
7 8 21
9 96 17
3 45 4
18 28 8
83 98 5
36 65 1
5 60 20
64 89 8
1 65 3
29 44 28
1 7 14
19 70 21
4 91 6
17 98 13
27 95 4
68 92 5
5 78 22
54 76 5
31 32 19
1 43 2
46 78 25
34 41 29
55 96 13
32 81 28
12 95 14
23 54 20
41 60 9
44 96 6
78 80 15
27 78 24
4 45 17
63 92 5
4 82 3
8 29 21
34 90 29
46 49 29
22 78 20
73 79 18
25 94 8
63 73 3
9 13 28
72 97 12
24 78 24
18 99 14
57 59 12
36 94 6
45 98 2
64 90 11
28 89 22
16 40 3
16 75 19
18 26 9
30 45 30
51 94 16
45 77 6
44 52 19
13 30 2
13 58 16
34 59 19
6 59 12
65 69 20
31 95 13
13 83 20
7 79 3
42 65 28
46 83 11
23 96 29
26 67 8
11 81 8
1 87 11
22 97 19
51 71 9
7 18 20
15 69 16
14 44 11
40 59 22
16 23 13
26 82 27
4 81 19
69 75 13
45 87 21
30 50 22
2 69 23
5 72 5
33 34 18
55 73 5
24 55 8
38 66 23
19 96 22
34 64 9
44 66 28
9 41 24
75 96 17
23 99 15
40 69 30
69 96 8
25 58 19
2 32 1
1 96 4
73 94 3
40 72 27
76 90 15
64 93 25
50 53 20
8 18 11
61 91 17
61 79 1
17 97 16
20 61 18
43 48 17
18 84 23
49 90 23
55 64 6
16 17 21
36 88 16
13 25 12
5 35 14
10 85 14
73 92 16
50 99 7
39 84 18
29 36 23
10 60 29
20 96 29
18 59 7
5 86 22
7 30 22
61 85 10
4 71 25
33 50 8
24 72 29
8 78 15
5 27 25
88 94 26
67 70 28
63 90 10
26 91 29
14 45 27
24 43 8
69 91 12
53 56 29
3 48 19
32 58 16
45 65 24
12 56 17
67 72 16
84 97 14
46 72 16
29 50 21
49 70 21
14 22 28
31 38 29
15 38 23
19 29 6
24 57 6
32 91 10
94 97 16
33 85 15
29 69 30
5 98 2
78 100 24
44 91 1
36 86 17
6 79 12
77 97 15
29 78 6
3 8 19
28 63 21
67 100 19
58 93 4
81 96 23
57 78 12
68 79 20
7 100 30
34 83 18
64 84 15
76 84 25
57 81 17
2 45 29
59 83 27
40 92 13
53 90 22
